Date	Départ	Arrivée	Commentaires	regularity	obs_person	obs_animal	obs_weather	obs_malicious	obs_construction	obs_strike	obs_technical
2014-08	ANGERS SAINT LAUD	PARIS MONTPARNASSE			0	0	0	0	0	0	0
2014-08	ANGOULEME	PARIS MONTPARNASSE			0	0	0	0	0	0	0
2014-08	ANNECY	PARIS LYON			0	0	0	0	0	0	0
2014-08	AVIGNON TGV	PARIS LYON	En août, la régularité des TGV entre Paris et la Méditerranée a été fortement impactée par 8 accidents de personnes et par un acte de malveillance près du Creusot.		1	0	0	1	0	0	0
2014-08	BESANCON FRANCHE COMTE TGV	PARIS LYON			0	0	0	0	0	0	0
2014-08	LILLE	MARSEILLE ST CHARLES			0	0	0	0	0	0	0
2014-08	LYON PART DIEU	MONTPELLIER			0	0	0	0	0	0	0
2014-08	MACON LOCHE	PARIS LYON			0	0	0	0	0	0	0
2014-08	MULHOUSE VILLE	PARIS LYON			0	0	0	0	0	0	0
2014-08	PARIS EST	STRASBOURG			0	0	0	0	0	0	0
2014-08	PARIS LYON	BELLEGARDE (AIN)			0	0	0	0	0	0	0
2014-08	PARIS LYON	TOULON			0	0	0	0	0	0	0
2014-08	PARIS LYON	VALENCE ALIXAN TGV			0	0	0	0	0	0	0
2014-08	PARIS MONTPARNASSE	BREST			0	0	0	0	0	0	0
2014-08	PARIS MONTPARNASSE	LE MANS			0	0	0	0	0	0	0
2014-08	PARIS MONTPARNASSE	QUIMPER			0	0	0	0	0	0	0
2014-08	POITIERS	PARIS MONTPARNASSE			0	0	0	0	0	0	0
2014-08	QUIMPER	PARIS MONTPARNASSE			0	0	0	0	0	0	0
2014-08	REIMS	PARIS EST			0	0	0	0	0	0	0
2014-08	SAINT ETIENNE CHATEAUCREUX	PARIS LYON			0	0	0	0	0	0	0
2014-08	TOULON	PARIS LYON	En août, la régularité des TGV entre Paris et la Méditerranée a été fortement impactée par 8 accidents de personnes et par un acte de malveillance près du Creusot.		1	0	0	1	0	0	0
2014-08	TOURS	PARIS MONTPARNASSE			0	0	0	0	0	0	0
2014-08	VANNES	PARIS MONTPARNASSE			0	0	0	0	0	0	0
2014-09	ANGERS SAINT LAUD	PARIS MONTPARNASSE			0	0	0	0	0	0	0
2014-09	ANGOULEME	PARIS MONTPARNASSE			0	0	0	0	0	0	0
2014-09	BELLEGARDE (AIN)	PARIS LYON			0	0	0	0	0	0	0
2014-09	BORDEAUX ST JEAN	PARIS MONTPARNASSE			0	0	0	0	0	0	0
2014-09	CHAMBERY CHALLES LES EAUX	PARIS LYON			0	0	0	0	0	0	0
2014-09	DOUAI	PARIS NORD			0	0	0	0	0	0	0
2014-09	LILLE	MARSEILLE ST CHARLES			0	0	0	0	0	0	0
2014-09	LILLE	PARIS NORD			0	0	0	0	0	0	0
2014-09	MARSEILLE ST CHARLES	LYON PART DIEU	Plusieurs incidents liés à la présence de personnes ou d'animaux sur les voies ont fortement perturbé la régularité des TGV sur cette liaison en septembre.		1	1	0	0	0	0	1
2014-09	MARSEILLE ST CHARLES	PARIS LYON			0	0	0	0	0	0	0
2014-09	NANCY	PARIS EST			0	0	0	0	0	0	0
2014-09	NANTES	STRASBOURG			0	0	0	0	0	0	0
2014-09	NICE VILLE	PARIS LYON	Les intempéries dans le Var, ainsi que plusieurs incidents liés à la présence de personnes ou d'animaux sur les voies, ont fortement perturbé la régularité des TGV sur cette liaison en septembre.		1	1	1	0	0	0	1
2014-09	PARIS EST	METZ			0	0	0	0	0	0	0
2014-09	PARIS LYON	CHAMBERY CHALLES LES EAUX			0	0	0	0	0	0	0
2014-09	PARIS LYON	LE CREUSOT MONTCEAU MONTCHANIN			0	0	0	0	0	0	0
2014-09	PARIS LYON	MARSEILLE ST CHARLES			0	0	0	0	0	0	0
2014-09	PARIS MONTPARNASSE	BREST			0	0	0	0	0	0	0
2014-09	PARIS MONTPARNASSE	VANNES			0	0	0	0	0	0	0
